n02106662   德国牧羊犬
n02124075   埃及猫
n02281787	灰蝶
n02389026	马
n02492035	卷尾猴
n02504458	亚洲象
n02510455	大熊猫
n02607072	小丑鱼
n02690373	客机
n02906734	扫帚
n02951358	独木舟
n02992529	移动电话
n03063599	咖啡杯
n03100240	敞篷车
n03180011	台式电脑
n03197337	数码表
n03272010	电吉他
n03272562	电力火车
n03297495	浓缩咖啡机
n03376595	折叠椅
n03445777	高尔夫球
n03452741	三角钢琴
n03584829	熨斗
n03590841	南瓜灯
n03709823	邮袋
n03773504	导弹
n03775071	连指手套
n03792782	山地自行车
n03792972	露营帐篷
n03877472	睡衣
n03888257	降落伞
n03982430	台球桌
n04044716	射电望远镜
n04069434	反光相机
n04086273	左轮手枪
n04120489	运动鞋
n07753592	香蕉
n07873807	披萨
n11939491	雏菊
n13054560	牛肝菌
n02099601   金毛寻回犬
n02099712   拉布拉多寻回犬
n02106166   边境牧羊犬
n02106550   罗威纳犬
n02107142   杜宾犬
n02110185   西伯利亚哈士奇
n02111889   萨摩耶犬
n02112826   威尔士柯基犬
n01443537   金鱼
n01456756   海马
n01484850   大白鲨
n01494475   锤头鲨
n01496331   电鳐
n02630281   旗鱼
n02643566   狮子鱼
n02655020   河豚
n07740461   红苹果
n07745940   草莓
n07749192   脐橙
n07753275   菠萝
n07756951   西瓜
n07758680   葡萄
n07772935   椰子
n12144580   玉米
n02701002   救护车
n02901620   双桅帆船
n03384352   叉车
n03690473   货车
n03790512   摩托车
n03845190   油轮
n04389033   坦克
n04465666   拖拉机
n02672831   手风琴
n02992211   大提琴
n03372029   长笛
n03495258   竖琴
n03838899   双簧管
n03884397   排箫
n04249415   小军鼓
n04487394   长号
